time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/n_updates,train/explained_variance,train/value_loss,train/clip_range,train/loss,train/clip_fraction,train/learning_rate,train/std,train/policy_gradient_loss,train/entropy_loss,train/approx_kl
1003,72,932.26,190.02924125,146,147456,2180,0.8474920988082886,6.8582542424090205,0.2,4.7668914794921875,0.210546875,0.0003,0.5397146344184875,-0.009623692545574158,-3.1425762467086313,0.027375923
1003,73,912.58,183.77291977000004,148,149504,2190,0.4508635401725769,4.985368564818055,0.2,3.8504791259765625,0.288916015625,0.0003,0.543081521987915,-0.006032675757887773,-3.1752679355442526,0.02008532
1003,74,906.67,181.49703574,151,151552,2200,0.9050624966621399,28.519974598288535,0.2,3.9774980545043945,0.0904296875,0.0003,0.543800950050354,-0.008582292823120952,-3.186256880313158,0.008609619
1003,75,897.49,178.37961525,153,153600,2210,0.9498946070671082,19.59740384593606,0.2,5.446438312530518,0.110498046875,0.0003,0.5415810346603394,-0.013843485890538432,-3.178162816911936,0.012791875
1002,76,886.51,175.12250556999996,155,155648,2220,0.925497829914093,17.82395318634808,0.2,1.6769441366195679,0.22109375,0.0003,0.5397951602935791,-0.009481368301203474,-3.1662873938679694,0.024045765
1002,77,867.36,168.47311897,157,157696,2230,0.9213591814041138,19.38790613822639,0.2,3.008502244949341,0.22490234375,0.0003,0.5399136543273926,-0.00730064956296701,-3.1600470423698424,0.019178305
1002,78,856.3,164.61340260999998,159,159744,2240,0.9080026149749756,32.15002031177282,0.2,21.419328689575195,0.10751953125,0.0003,0.5412799119949341,-0.008426831659744494,-3.167003831267357,0.011365118
1002,79,854.36,164.74252396,161,161792,2250,0.7884471416473389,11.145005613192916,0.2,4.271377086639404,0.266015625,0.0003,0.5360576510429382,-0.006199629211914725,-3.1539908170700075,0.025844578
1002,80,855.63,165.95656915000004,163,163840,2260,0.21867597103118896,5.588166147843003,0.2,1.017317295074463,0.28427734375,0.0003,0.5314368605613708,-0.0074583714711479844,-3.1108166351914406,0.02083944
1002,81,849.74,165.08028999000007,165,165888,2270,0.9040681719779968,17.852961621433497,0.2,4.23109769821167,0.147900390625,0.0003,0.5324677228927612,-0.0088640330825001,-3.1022145964205263,0.012295896
1003,82,861.56,170.64175189000002,167,167936,2280,0.8650270104408264,25.810292033851148,0.2,4.520756244659424,0.12236328125,0.0003,0.5311973690986633,-0.006905782196554355,-3.102598824352026,0.012099045
1003,83,860.61,170.69551611,169,169984,2290,-0.1675969362258911,8.167808749899269,0.2,3.0120303630828857,0.2427734375,0.0003,0.5299620032310486,-0.007680227073433343,-3.0952532693743704,0.017319765
1003,84,866.79,172.42828951999996,171,172032,2300,0.4102288484573364,4.965729739051312,0.2,0.5742118954658508,0.29951171875,0.0003,0.5245925188064575,-0.007065481883182656,-3.0639026261866094,0.028615002
1003,85,869.93,175.67563241999997,173,174080,2310,0.879757285118103,8.236071176826954,0.2,3.284578561782837,0.2275390625,0.0003,0.5245623588562012,-0.005895689537283033,-3.0408369772136212,0.016890198
1003,86,856.35,170.22231089999997,175,176128,2320,0.3864237666130066,5.17077527618967,0.2,2.4320201873779297,0.296875,0.0003,0.5227850079536438,-0.0024525093554984777,-3.0355579748749735,0.028464288
1003,87,865.66,172.82412487,177,178176,2330,0.9163568615913391,32.78877382799983,0.2,14.487201690673828,0.10615234375,0.0003,0.5220996141433716,-0.007079748951946385,-3.028706207126379,0.009486036
1003,88,861.15,171.19167850000002,179,180224,2340,0.9114899039268494,19.066591042280198,0.2,8.993178367614746,0.161279296875,0.0003,0.5230242609977722,-0.007395064094453119,-3.0273772098124025,0.015894797
1003,89,837.73,163.77162380999997,181,182272,2350,0.9092329144477844,17.025910668075085,0.2,0.9694582223892212,0.164599609375,0.0003,0.5230917930603027,-0.007268297293921933,-3.028678424656391,0.018322075
1003,90,838.05,165.35265972999997,183,184320,2360,0.9310320019721985,22.233198317140342,0.2,3.76930570602417,0.227294921875,0.0003,0.5221436023712158,-0.008018227454158477,-3.0245470479130745,0.014084496
1003,91,835.66,163.84035092000002,185,186368,2370,0.30484122037887573,5.812713386677205,0.2,3.1746342182159424,0.25205078125,0.0003,0.5192954540252686,-0.01096733337326441,-3.017138421535492,0.028606452
1003,92,827.53,160.80684896999998,187,188416,2380,0.7358118891716003,7.350034731812775,0.2,11.69043254852295,0.207421875,0.0003,0.5214008688926697,-0.00845118693250697,-3.0090847693383695,0.021590654
1003,93,831.62,162.98353986999996,189,190464,2390,0.9468138813972473,17.46047051548958,0.2,4.6254658699035645,0.16005859375,0.0003,0.5193495154380798,-0.006173670230782591,-3.0100283570587636,0.013730548
1003,94,835.3,165.44396194,191,192512,2400,0.6003440618515015,6.407737038470804,0.2,5.411923408508301,0.2765625,0.0003,0.5199663043022156,-0.008215405221562833,-3.001990595459938,0.018861847
1003,95,833.13,166.356106,193,194560,2410,0.8281033635139465,16.454646752029657,0.2,5.911416053771973,0.122705078125,0.0003,0.5192716121673584,-0.004766798968194053,-3.005749311298132,0.01153124
1003,96,812.6,158.32054329,195,196608,2420,0.8886253833770752,15.535999485477806,0.2,4.5712361335754395,0.15556640625,0.0003,0.5202614068984985,-0.006843526850570924,-3.004711866378784,0.012397943
1003,97,796.6,152.89624253,197,198656,2430,0.9027382731437683,48.345271377265455,0.2,11.623237609863281,0.0841796875,0.0003,0.5202817916870117,-0.010656767782347743,-3.01192227602005,0.008857682
1003,98,803.23,155.24708239999998,199,200704,2440,0.9185402989387512,30.858078254759313,0.2,13.35103702545166,0.078125,0.0003,0.5200902223587036,-0.00937112678657286,-3.0101150020956995,0.009288389
1003,99,778.79,145.09063405,202,202752,2450,0.9596334099769592,18.509607895463706,0.2,5.431422233581543,0.126611328125,0.0003,0.5207415819168091,-0.009064193605445326,-3.012416323274374,0.0130828945
1003,100,766.87,141.29456063,204,204800,2460,0.8940932750701904,86.63865894079208,0.2,73.22783660888672,0.064404296875,0.0003,0.5196574926376343,-0.009176086445222609,-3.0115888454020023,0.009056021
1003,101,769.25,142.82307009,206,206848,2470,0.9333034157752991,18.281235653162003,0.2,8.110567092895508,0.158203125,0.0003,0.5197122097015381,-0.011238571790454444,-3.007257655262947,0.011185806
1003,102,774.28,145.66157711999998,208,208896,2480,0.43606191873550415,5.4418587978929285,0.2,4.014763355255127,0.347314453125,0.0003,0.5161604881286621,-0.0066531158605357636,-2.9877597622573377,0.024592023
1003,103,773.04,145.75211317,210,210944,2490,0.49774569272994995,4.6560813980177045,0.2,6.8863630294799805,0.338916015625,0.0003,0.5126985907554626,-0.010836687975097448,-2.962423995882273,0.030301098
1003,104,772.64,145.78487275,212,212992,2500,0.5704182386398315,4.739834754914045,0.2,0.7238409519195557,0.2193359375,0.0003,0.5154244899749756,-0.009000368200941012,-2.9634137362241746,0.020888675
1003,105,779.24,148.35203692,214,215040,2510,0.512974202632904,6.6954276856035,0.2,8.803204536437988,0.199853515625,0.0003,0.5170992612838745,-0.007878107074066065,-2.9806648030877114,0.017978078
1003,106,787.27,153.168163,216,217088,2520,0.941943883895874,16.510396330058576,0.2,6.870145320892334,0.143994140625,0.0003,0.5153921842575073,-0.0100364729645662,-2.977866069972515,0.010866053
1003,107,777.42,149.34989625000003,218,219136,2530,0.5690603256225586,6.141151262912899,0.2,7.198622703552246,0.295556640625,0.0003,0.5156365633010864,-0.007290239597205072,-2.9726737044751643,0.023142334
1003,108,771.79,147.12512896,220,221184,2540,0.9295976161956787,13.090077319927513,0.2,3.677236318588257,0.15048828125,0.0003,0.5148023366928101,-0.007638020758167841,-2.9712457790970803,0.019732252
