#{"t_start": 1760833005.378652, "env_id": "BipedalWalker-v3"}
r,l,t
217.719046,1370,1165.836745
-98.457692,112,1178.518897
-90.190879,270,1178.662033
-101.668846,90,1178.712469
-101.398641,88,1178.764865
-99.385767,84,1178.811952
-101.714201,154,1191.479281
-23.886333,468,1191.728973
-86.026783,259,1191.873154
21.988884,821,1192.330412
218.346791,1373,1193.050647
-99.794276,84,1205.718779
-106.919169,103,1205.775843
-98.537211,84,1205.822984
-105.796579,103,1205.879599
-108.143416,109,1205.939581
-117.922668,84,1218.731995
-122.83703,130,1218.801386
-119.547991,77,1218.843377
-116.198653,95,1218.894711
-117.546081,86,1218.941007
-4.04523,734,1231.840475
-46.318515,589,1232.173484
-60.782934,452,1232.412204
38.856598,1118,1233.004544
-35.890246,464,1233.251755
-116.84252,55,1245.798338
-116.86209,55,1245.828907
-118.669164,56,1245.859997
-117.662748,54,1245.889959
-119.154727,57,1245.921522
-79.312448,229,1258.653754
-60.88039,398,1258.86504
-43.901602,399,1259.094726
-85.239762,188,1259.195272
-49.285514,431,1259.42393
-116.689408,87,1272.014385
-116.491707,81,1272.058917
-115.45808,93,1272.108297
-115.030806,80,1272.151618
-115.383945,79,1272.19387
-50.666994,397,1284.889709
-84.009636,235,1285.013653
-20.031716,595,1285.329573
-74.582224,251,1285.464448
95.838061,1083,1286.03795
-114.748344,80,1298.614411
-115.476906,77,1298.656244
-112.747289,77,1298.698061
-115.060054,77,1298.74021
-115.07867,77,1298.781742
-117.251097,56,1311.387326
-117.179905,56,1311.418326
-117.169261,56,1311.449082
-117.04144,56,1311.480057
-119.596344,55,1311.510175
-117.141995,53,1324.163701
-116.772327,53,1324.1931
-116.715038,53,1324.22202
-116.702969,53,1324.250971
-116.602975,53,1324.280058
-117.808586,50,1336.769598
-114.022921,68,1336.806362
-117.786651,50,1336.834087
-114.663763,59,1336.865746
-117.639848,50,1336.893213
-116.569589,45,1349.372624
-115.314758,58,1349.404087
-114.480789,62,1349.437346
-113.672816,75,1349.477387
-116.131286,59,1349.509363
-111.367122,62,1362.003276
-111.377314,62,1362.037151
-111.821671,62,1362.070923
-113.079012,58,1362.103439
-111.790077,62,1362.137526
-111.302362,61,1374.606782
-111.23914,61,1374.639738
-111.273325,61,1374.672487
-112.297776,57,1374.703426
-112.459868,57,1374.735052
-111.058852,59,1387.24907
-112.831524,62,1387.283883
-111.122935,59,1387.316065
-113.469032,63,1387.350435
-113.799155,53,1387.379471
-112.132338,62,1400.065875
-110.449116,53,1400.095765
-114.384793,63,1400.130704
-114.214926,72,1400.170207
-114.885299,63,1400.20491
-111.573728,74,1412.869798
-114.563283,63,1412.904105
