time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/value_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/explained_variance,train/std,train/loss,eval/mean_ep_length,eval/mean_reward
27,687,80,911.0833333333334,55296,-93.27352885000002,-5.684446215629578,260,0.04089859857340343,0.2,0.0073920395,-0.011422564572421834,0.052587890625,3e-05,0.7941286563873291,1.0016123056411743,-0.056300997734069824,,
28,692,82,922.3770491803278,57344,-91.99548867213117,-5.681798508763313,270,0.029347692569717764,0.2,0.0077680284,-0.012195895990589633,0.06806640625,3e-05,0.8051350712776184,1.001343846321106,-0.07306206971406937,,
29,696,85,933.3064516129032,59392,-90.66518817741937,-5.6795764654874805,280,0.03190993437892757,0.2,0.007750631,-0.01202953842584975,0.064013671875,3e-05,0.8102391362190247,1.0006974935531616,-0.06491824984550476,,
,,,,60000,,-5.676754786074161,290,0.03664224086678587,0.2,0.005924527,-0.010561055073048919,0.047900390625,3e-05,0.8311750292778015,0.9997064471244812,-0.07490351796150208,1600.0,106.65252699999999
30,665,92,954.140625,61440,-88.04208284375,,,,,,,,,,,,,
31,669,94,964.0769230769231,63488,-86.18778869230769,-5.674325300753116,300,0.03708444947260432,0.2,0.0070363455,-0.011899552136310377,0.067919921875,3e-05,0.8523386716842651,0.9996412396430969,-0.0636555403470993,,
32,674,97,973.7121212121212,65536,-84.10525389393939,-5.671240036189556,310,0.025433686561882496,0.2,0.0064222543,-0.010295529330323915,0.05703125,3e-05,0.8580220341682434,0.9981212615966797,-0.06283631920814514,,
33,678,99,992.1323529411765,67584,-80.37591419117646,-5.666111654043197,320,0.030710435035871342,0.2,0.006714967,-0.009825686507974751,0.055517578125,3e-05,0.8194773197174072,0.9970757961273193,-0.07819677144289017,,
34,681,102,987.4571428571429,69632,-79.60251967142855,-5.664273121953011,330,0.03404549392871559,0.2,0.0072292592,-0.012292314687510953,0.063037109375,3e-05,0.809544026851654,0.9971777200698853,-0.061436254531145096,,
,,,,70000,,-5.662974818050861,340,0.2852134910528548,0.2,0.006571257,-0.0071487607317976655,0.056787109375,3e-05,0.3880281448364258,0.9964052438735962,1.788884401321411e-05,1600.0,122.17644539999999
35,656,109,996.0845070422536,71680,-77.71959878873238,,,,,,,,,,,,,
36,660,111,1004.4722222222222,73728,-75.85796370833333,-5.6617617651820185,350,0.05216099009267054,0.2,0.008424675,-0.01085506623785477,0.0779296875,3e-05,0.7430931329727173,0.9966843724250793,-0.05865379050374031,,
37,664,114,1007.6133333333333,75776,-72.68906474666665,-5.662085282802582,360,0.04188014048850164,0.2,0.006929208,-0.01352705362951383,0.06494140625,3e-05,0.7574612498283386,0.9965881109237671,-0.06560516357421875,,
38,667,116,1015.4078947368421,77824,-70.79943606578946,-5.661748597025872,370,0.1695231779711321,0.2,0.0051642256,-0.006380949344020337,0.037548828125,3e-05,0.6512848734855652,0.996532678604126,0.009941242635250092,,
39,671,118,1023.0,79872,-68.95834263636362,-5.659016992151737,380,0.03529748186701909,0.2,0.008224262,-0.011393754693563097,0.07587890625,3e-05,0.6916452646255493,0.9949754476547241,-0.04379740357398987,,
,,,,80000,,-5.652745559811592,390,0.032571733370423316,0.2,0.007358644,-0.011359862837707624,0.072412109375,3e-05,0.8310472369194031,0.9936696290969849,-0.05096188187599182,1011.8,10.1812492
40,660,124,1030.3974358974358,81920,-67.20310173076922,,,,,,,,,,,,,
41,663,126,1033.0246913580247,83968,-64.38648907407408,-5.647488833963871,400,0.02863475962949451,0.2,0.007221722,-0.013359133433550597,0.05654296875,3e-05,0.753422200679779,0.9923110008239746,-0.08764926344156265,,
42,666,129,1027.2048192771085,86016,-64.46895648192772,-5.645314198732376,410,0.1029468883993104,0.2,0.0055071646,-0.009079246487817726,0.040771484375,3e-05,0.815278172492981,0.9927547574043274,-0.03102792054414749,,
43,670,131,1015.7790697674419,88064,-63.72194531395349,-5.649345625936985,420,0.1589018637081608,0.2,0.006459636,-0.01055350584210828,0.042236328125,3e-05,0.8834462761878967,0.994297206401825,-0.011149950325489044,,
,,,,90000,,-5.653974334895611,430,0.17627592651406304,0.2,0.0049679046,-0.00848422457347624,0.031201171875,3e-05,0.8934110999107361,0.9949691295623779,0.02978147566318512,1600.0,107.4864664
44,653,137,1011.5568181818181,90112,-62.66642694318182,,,,,,,,,,,,,
45,656,140,996.9347826086956,92160,-62.286403641304354,-5.652314664423466,440,0.0876085061347112,0.2,0.006226042,-0.011640150687890127,0.0478515625,3e-05,0.8920042514801025,0.9934269189834595,-0.04578490927815437,,
46,660,142,1003.4193548387096,94208,-61.00514831182796,-5.649662761390209,450,0.4571021077921614,0.2,0.0057075024,-0.008868607686599717,0.046533203125,3e-05,0.7537471055984497,0.9938793182373047,0.06127839535474777,,
47,663,145,1009.7659574468086,96256,-59.70308429787234,-5.649114944040775,460,0.1183384720934555,0.2,0.007972052,-0.008813582696893718,0.06171875,3e-05,0.6082643866539001,0.9930335879325867,-0.0030779093503952026,,
48,666,147,1015.4375,98304,-58.10840341666667,-5.646812270581722,470,0.05309446182800457,0.2,0.006709938,-0.01013826105336193,0.057373046875,3e-05,0.7586420178413391,0.9926019906997681,-0.06361307948827744,,
,,,,100000,,-5.646128277480602,480,0.07693956995499321,0.2,0.0072416635,-0.010663560120156035,0.052783203125,3e-05,0.9278174638748169,0.9927875399589539,-0.04806411266326904,1600.0,89.8979244
49,650,154,1021.4639175257732,100352,-56.76852179381443,,,,,,,,,,,,,
