train/n_updates,train/explained_variance,train/value_loss,train/learning_rate,time/iterations,train/policy_loss,time/fps,train/std,time/time_elapsed,train/entropy_loss,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean
71999,0.33465278148651123,0.08214681595563889,0.0007,12000,-0.25416526198387146,871,0.5008589029312134,68,-2.6303162574768066,60000,155.67,-107.16072569000002
72099,0.9179375171661377,0.16204504668712616,0.0007,12100,0.982808530330658,871,0.49915817379951477,69,-2.615032196044922,60500,155.75,-106.86126035999997
72199,-16.543725967407227,1.29057776927948,0.0007,12200,2.9101576805114746,871,0.49739402532577515,69,-2.6017067432403564,61000,158.8,-107.0555559
72299,-0.4714866876602173,2.5094025135040283,0.0007,12300,-5.228686809539795,871,0.500200092792511,70,-2.6217057704925537,61500,159.74,-107.18507962000001
72399,-77.50485229492188,0.029276257380843163,0.0007,12400,-0.21026365458965302,871,0.5016117095947266,71,-2.6199588775634766,62000,161.4,-107.33182837999999
72499,-44.22554397583008,0.3475635051727295,0.0007,12500,-0.6815792918205261,871,0.503729522228241,71,-2.6375787258148193,62500,161.4,-107.33182837999999
72599,0.4638405442237854,0.058140117675065994,0.0007,12600,0.3206772804260254,872,0.5037200450897217,72,-2.63558292388916,63000,170.97,-108.10340207000002
72699,-5.559474468231201,0.33988600969314575,0.0007,12700,1.1663141250610352,872,0.5061132907867432,72,-2.652036428451538,63500,171.29,-108.20784183000002
72799,-0.32489538192749023,0.5153669118881226,0.0007,12800,1.1584302186965942,872,0.5082550048828125,73,-2.675997734069824,64000,171.85,-108.31504744
72899,-0.4625518321990967,0.09177254140377045,0.0007,12900,0.6253134608268738,872,0.510217547416687,73,-2.6914873123168945,64500,172.61,-108.50606449999998
72999,-0.1969447135925293,0.010176563635468483,0.0007,13000,-0.09725578129291534,872,0.5117396116256714,74,-2.700148820877075,65000,172.39,-108.64283419999998
73099,-4.560305595397949,0.09669642150402069,0.0007,13100,-0.49764156341552734,872,0.5105186700820923,75,-2.694049596786499,65500,173.99,-108.92709477999999
73199,0.7152900695800781,0.036687836050987244,0.0007,13200,0.46405529975891113,872,0.5097333192825317,75,-2.6889102458953857,66000,173.67,-109.07924779999999
73299,0.9327071309089661,0.012094913981854916,0.0007,13300,-0.1419418901205063,872,0.5113253593444824,76,-2.7033207416534424,66500,171.86,-108.97452801
73399,-0.011685013771057129,0.29929545521736145,0.0007,13400,-1.1297937631607056,872,0.5169051885604858,76,-2.7386627197265625,67000,168.03,-108.61663189999999
73499,0.3570387363433838,0.14719735085964203,0.0007,13500,-0.17632567882537842,872,0.5151257514953613,77,-2.7325563430786133,67500,165.51,-108.5563577
73599,-4.008575916290283,0.11933938413858414,0.0007,13600,0.6086543202400208,872,0.5172308087348938,77,-2.743436098098755,68000,161.46,-108.73110933
73699,-1.6858551502227783,0.1842038482427597,0.0007,13700,-0.34431153535842896,872,0.5161399841308594,78,-2.7327756881713867,68500,161.66,-108.80991024
73799,0.5872282385826111,0.06007090210914612,0.0007,13800,0.1565973311662674,872,0.5132871866226196,79,-2.709911823272705,69000,161.72,-108.90554640999999
73899,0.9002847075462341,0.02295183204114437,0.0007,13900,0.47823596000671387,872,0.5084635615348816,79,-2.6842222213745117,69500,160.1,-108.8572171
73999,0.8959572315216064,0.018886787816882133,0.0007,14000,0.6359437704086304,872,0.508122444152832,80,-2.68513822555542,70000,152.14,-107.64041114
74099,-0.8404003381729126,0.5206093788146973,0.0007,14100,0.9670939445495605,872,0.5036885738372803,80,-2.664334535598755,70500,146.93,-106.95154765999997
74199,-16.913909912109375,0.14085827767848969,0.0007,14200,0.7404975295066833,872,0.5008766055107117,81,-2.6376354694366455,71000,124.44,-105.22114615999999
74299,0.6300290822982788,0.051938798278570175,0.0007,14300,0.5752663016319275,872,0.5013648271560669,81,-2.641439437866211,71500,116.26,-104.89978948
74399,-6.4090352058410645,0.6086391806602478,0.0007,14400,-2.3929173946380615,872,0.5031859278678894,82,-2.6645309925079346,72000,117.54,-104.98598330000003
74499,-1.4155652523040771,0.15790989995002747,0.0007,14500,-1.170747995376587,872,0.5055810809135437,83,-2.6839911937713623,72500,114.46,-104.86457743999999
74599,-9.533442497253418,0.1493486911058426,0.0007,14600,0.1862187683582306,872,0.5055336356163025,83,-2.6888935565948486,73000,102.38,-103.85385824
74699,0.3140820264816284,0.1704787164926529,0.0007,14700,0.9253248572349548,872,0.5068223476409912,84,-2.6962547302246094,73500,98.86,-103.40641181000001
74799,0.8359692096710205,0.16167782247066498,0.0007,14800,-0.858284592628479,872,0.504452109336853,84,-2.6724987030029297,74000,94.6,-102.94972213999999
74899,-1.552802562713623,0.1488962024450302,0.0007,14900,1.046775221824646,872,0.5058425664901733,85,-2.681638240814209,74500,91.71,-102.41738399999998
74999,0.9576098322868347,0.01445133239030838,0.0007,15000,0.36738911271095276,872,0.5049034357070923,86,-2.6643848419189453,75000,90.47,-102.21916983
75099,0.26560109853744507,3649.99853515625,0.0007,15100,-85.08515930175781,871,0.5028749704360962,86,-2.6383416652679443,75500,93.27,-102.40733740999998
75199,-1.2993812561035156e-05,0.007927970960736275,0.0007,15200,-0.2808394134044647,871,0.5044889450073242,87,-2.6471900939941406,76000,93.27,-102.40733740999998
75299,-7.149670600891113,0.014545762911438942,0.0007,15300,-0.18976332247257233,871,0.5043134689331055,87,-2.637741804122925,76500,93.27,-102.40733740999998
75399,-2.2550976276397705,0.14348278939723969,0.0007,15400,1.1054763793945312,871,0.5058444738388062,88,-2.646791458129883,77000,104.0,-103.11675906999999
75499,0.28688305616378784,0.5477537512779236,0.0007,15500,-0.6269616484642029,871,0.5053222179412842,88,-2.6427228450775146,77500,110.26,-103.63289880999999
75599,-21.109477996826172,3.0719611644744873,0.0007,15600,-4.803020000457764,871,0.5040897727012634,89,-2.6412723064422607,78000,112.57,-103.70846415
75699,-37.58487319946289,0.04022993519902229,0.0007,15700,-0.13967643678188324,871,0.5063716173171997,90,-2.6569290161132812,78500,112.72,-103.67743093000001
75799,-26.193660736083984,0.22188019752502441,0.0007,15800,1.114524006843567,871,0.507671594619751,90,-2.665382146835327,79000,112.72,-103.67743093000001
75899,-257.44140625,0.3252611756324768,0.0007,15900,1.31953763961792,871,0.5070501565933228,91,-2.668156147003174,79500,123.36,-104.39484122
75999,0.48269861936569214,0.027007415890693665,0.0007,16000,0.263190895318985,871,0.5061596632003784,91,-2.661705493927002,80000,127.41,-104.74690943
76099,-0.746212363243103,1.0691015720367432,0.0007,16100,1.4559863805770874,871,0.5088469982147217,92,-2.674647092819214,80500,130.44,-104.79470481
76199,0.7993575930595398,0.050398290157318115,0.0007,16200,-0.6879233717918396,871,0.5054707527160645,92,-2.644930362701416,81000,132.36,-104.79876548
76299,0.8306424617767334,0.18504706025123596,0.0007,16300,1.2289512157440186,871,0.5079668164253235,93,-2.667386054992676,81500,133.06,-104.46603549
76399,0.6397222280502319,0.671256422996521,0.0007,16400,-2.226555347442627,871,0.5045526027679443,94,-2.643087148666382,82000,134.92,-104.50068667000001
76499,-3.7816247940063477,0.5450672507286072,0.0007,16500,-1.565738558769226,871,0.5038353800773621,94,-2.650484561920166,82500,135.08,-104.49480169
